epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,94.6681,0.95362,1.16164,1.30574,0.61419,0.8674,0.76952,0.63747,0.77548,1.11618,1.28493,0.000834822,0.000834822,0.000834822
44,96.7827,0.95612,1.13721,1.30096,0.48229,0.80558,0.67956,0.55755,0.79511,1.2864,1.3481,0.000820675,0.000820675,0.000820675
45,98.8238,0.97405,1.15833,1.32798,0.55377,0.8464,0.77674,0.62739,0.81133,1.17911,1.30806,0.000806528,0.000806528,0.000806528
46,100.862,0.94402,1.13422,1.28521,0.69352,0.85226,0.81719,0.675,0.75186,1.01812,1.24808,0.00079238,0.00079238,0.00079238
47,103.054,0.92764,1.08535,1.28305,0.77673,0.78573,0.85593,0.68584,0.8152,0.92793,1.27883,0.000778233,0.000778233,0.000778233
48,105.214,0.95436,1.09227,1.29353,0.74584,0.76613,0.84225,0.68906,0.77414,0.93803,1.2494,0.000764086,0.000764086,0.000764086
49,107.36,0.92533,1.06954,1.33388,0.65196,0.83783,0.82129,0.67248,0.76684,1.02582,1.26041,0.000749939,0.000749939,0.000749939
50,109.421,0.89323,1.0206,1.27718,0.84699,0.789,0.87538,0.73148,0.74057,0.86857,1.25852,0.000735792,0.000735792,0.000735792
51,111.585,0.8741,1.00418,1.23989,0.66666,0.85495,0.82345,0.68191,0.75428,0.96846,1.24382,0.000721645,0.000721645,0.000721645
52,113.62,0.91592,0.98494,1.28735,0.83663,0.81499,0.89498,0.72756,0.80395,0.85226,1.26358,0.000707498,0.000707498,0.000707498
53,115.713,0.89121,0.99283,1.26035,0.88263,0.82124,0.89394,0.73207,0.77117,0.82497,1.23831,0.000693351,0.000693351,0.000693351
54,117.854,0.92277,0.95689,1.26941,0.79882,0.77565,0.87336,0.69402,0.85189,0.89428,1.27081,0.000679204,0.000679204,0.000679204
55,119.937,0.91905,0.93109,1.25773,0.78438,0.82664,0.89329,0.74473,0.71597,0.83994,1.19182,0.000665057,0.000665057,0.000665057
56,122.05,0.89416,0.90945,1.23288,0.86784,0.84068,0.91952,0.76246,0.73626,0.77703,1.20369,0.000650909,0.000650909,0.000650909
57,124.174,0.88211,0.88569,1.25078,0.89366,0.86086,0.92402,0.77924,0.66772,0.73525,1.17011,0.000636762,0.000636762,0.000636762
58,126.369,0.87387,0.90091,1.24338,0.86599,0.83966,0.91518,0.76183,0.72986,0.75647,1.19571,0.000622615,0.000622615,0.000622615
59,128.414,0.85929,0.86734,1.19147,0.7743,0.84309,0.90684,0.74726,0.73044,0.81091,1.20282,0.000608468,0.000608468,0.000608468
60,130.487,0.8619,0.87792,1.22537,0.82189,0.83272,0.92175,0.7574,0.71749,0.79576,1.21659,0.000594321,0.000594321,0.000594321
61,132.559,0.89543,0.88572,1.2335,0.80774,0.86637,0.91091,0.7659,0.70236,0.78635,1.20173,0.000580174,0.000580174,0.000580174
62,134.667,0.86497,0.86193,1.19366,0.83966,0.827,0.91383,0.76304,0.70564,0.74773,1.2017,0.000566027,0.000566027,0.000566027
63,136.72,0.84345,0.86657,1.23433,0.86195,0.87093,0.93538,0.77381,0.73718,0.71015,1.19874,0.00055188,0.00055188,0.00055188
64,138.747,0.85737,0.86913,1.17932,0.83585,0.87925,0.93144,0.78261,0.6827,0.70442,1.18039,0.000537733,0.000537733,0.000537733
65,140.85,0.81467,0.84337,1.1821,0.8634,0.82311,0.92969,0.77861,0.70045,0.73389,1.17218,0.000523586,0.000523586,0.000523586
66,142.882,0.8557,0.87424,1.25944,0.781,0.90281,0.91883,0.77247,0.69919,0.71299,1.17188,0.000509438,0.000509438,0.000509438
67,144.907,0.86726,0.86926,1.19082,0.6866,0.88329,0.86399,0.73349,0.67463,0.93962,1.16077,0.000495291,0.000495291,0.000495291
68,146.987,0.83253,0.87095,1.1855,0.8512,0.85122,0.92194,0.77249,0.70073,0.72696,1.19037,0.000481144,0.000481144,0.000481144
69,149,0.83064,0.87691,1.20006,0.83162,0.86798,0.93504,0.79528,0.66339,0.70676,1.15963,0.000466997,0.000466997,0.000466997
70,151.13,0.81874,0.84368,1.19756,0.8371,0.89661,0.93353,0.79282,0.68403,0.68446,1.14595,0.00045285,0.00045285,0.00045285
71,153.182,0.76641,0.78899,1.16061,0.90976,0.84524,0.94356,0.81657,0.63832,0.6411,1.1385,0.000438703,0.000438703,0.000438703
72,155.352,0.76213,0.74007,1.1615,0.90168,0.86991,0.94667,0.81415,0.65802,0.6268,1.14558,0.000424556,0.000424556,0.000424556
73,157.401,0.77117,0.77507,1.16479,0.90052,0.83129,0.94191,0.81532,0.62303,0.6262,1.12952,0.000410409,0.000410409,0.000410409
74,159.45,0.77702,0.74998,1.17626,0.92918,0.87884,0.95678,0.82473,0.63168,0.62618,1.13568,0.000396262,0.000396262,0.000396262
75,161.554,0.79524,0.75916,1.17574,0.86849,0.86352,0.94415,0.8035,0.67806,0.6595,1.14083,0.000382115,0.000382115,0.000382115
76,163.581,0.77588,0.72895,1.17449,0.84167,0.91128,0.94869,0.81625,0.64182,0.61608,1.12701,0.000367967,0.000367967,0.000367967
77,165.619,0.77483,0.74645,1.13689,0.89298,0.88524,0.94989,0.80776,0.65209,0.60096,1.13294,0.00035382,0.00035382,0.00035382
78,167.648,0.78569,0.75078,1.17438,0.93705,0.88115,0.95506,0.81117,0.66664,0.58838,1.13586,0.000339673,0.000339673,0.000339673
79,169.688,0.78976,0.73485,1.14774,0.91971,0.89021,0.96187,0.79768,0.70801,0.58436,1.1615,0.000325526,0.000325526,0.000325526
80,171.742,0.79934,0.73096,1.19449,0.89198,0.92284,0.96398,0.82656,0.64506,0.55271,1.12866,0.000311379,0.000311379,0.000311379
81,173.851,0.7825,0.70822,1.14594,0.93831,0.86374,0.95501,0.80468,0.70704,0.58441,1.16212,0.000297232,0.000297232,0.000297232
82,175.927,0.77278,0.69567,1.12028,0.93771,0.88092,0.96193,0.82303,0.65024,0.56576,1.12727,0.000283085,0.000283085,0.000283085
83,177.977,0.76846,0.69609,1.17945,0.95335,0.89776,0.96712,0.84021,0.6103,0.52343,1.10756,0.000268938,0.000268938,0.000268938
84,180.098,0.73105,0.67874,1.133,0.90829,0.86798,0.95854,0.83044,0.64057,0.57629,1.10907,0.000254791,0.000254791,0.000254791
85,182.121,0.76861,0.70299,1.16906,0.91855,0.92216,0.96559,0.83695,0.62012,0.53218,1.10784,0.000240644,0.000240644,0.000240644
86,184.164,0.72475,0.67287,1.10644,0.93003,0.89865,0.96252,0.83988,0.61438,0.53537,1.10341,0.000226497,0.000226497,0.000226497
87,186.248,0.72718,0.68184,1.13303,0.90292,0.87305,0.95469,0.83501,0.61244,0.55007,1.09863,0.000212349,0.000212349,0.000212349
88,188.302,0.71539,0.66245,1.12014,0.93546,0.92116,0.96942,0.83993,0.63268,0.51911,1.11714,0.000198202,0.000198202,0.000198202
89,190.388,0.73383,0.69409,1.1253,0.92301,0.9188,0.96697,0.84366,0.61841,0.51541,1.10128,0.000184055,0.000184055,0.000184055
90,192.547,0.71053,0.65955,1.12836,0.94488,0.91701,0.96971,0.84727,0.60655,0.50384,1.0887,0.000169908,0.000169908,0.000169908
91,195.551,0.64347,0.5493,1.09712,0.94381,0.90353,0.9686,0.84588,0.60978,0.52191,1.08633,0.000155761,0.000155761,0.000155761
92,197.942,0.62302,0.53038,1.08891,0.91729,0.91302,0.96864,0.84456,0.60585,0.5052,1.08673,0.000141614,0.000141614,0.000141614
93,200.007,0.617,0.52949,1.10442,0.91685,0.932,0.96957,0.85243,0.59304,0.49368,1.07949,0.000127467,0.000127467,0.000127467
94,202.165,0.60673,0.49488,1.07194,0.93312,0.90819,0.96971,0.85513,0.59541,0.50843,1.08192,0.00011332,0.00011332,0.00011332
95,204.306,0.61753,0.52046,1.09618,0.94097,0.89613,0.97027,0.85321,0.59322,0.51326,1.08144,9.91726e-05,9.91726e-05,9.91726e-05
96,206.369,0.60403,0.50794,1.09449,0.93565,0.91122,0.97234,0.84895,0.59936,0.49279,1.08511,8.50255e-05,8.50255e-05,8.50255e-05
97,208.432,0.62348,0.51756,1.06951,0.93198,0.93335,0.97478,0.85445,0.58754,0.48122,1.07504,7.08784e-05,7.08784e-05,7.08784e-05
98,210.476,0.6147,0.52037,1.07836,0.92092,0.94551,0.97598,0.85835,0.58327,0.47355,1.0683,5.67313e-05,5.67313e-05,5.67313e-05
99,212.627,0.61323,0.50947,1.11264,0.92078,0.94743,0.97645,0.85673,0.58999,0.47161,1.06912,4.25842e-05,4.25842e-05,4.25842e-05
100,214.725,0.59593,0.47206,1.07633,0.90925,0.96032,0.97578,0.85657,0.58685,0.47349,1.06895,2.84371e-05,2.84371e-05,2.84371e-05
