epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,196.5,0.89128,1.10772,1.22346,0.6257,0.71162,0.75065,0.59473,0.8055,1.08917,1.26012,0.000834822,0.000834822,0.000834822
44,201.221,0.89794,1.12443,1.22942,0.59009,0.76825,0.74521,0.60606,0.75233,1.02885,1.17962,0.000820675,0.000820675,0.000820675
45,205.979,0.89552,1.10988,1.24789,0.65727,0.79652,0.77256,0.63096,0.79511,0.99147,1.19282,0.000806528,0.000806528,0.000806528
46,210.65,0.89125,1.07709,1.24696,0.61786,0.8507,0.78298,0.65629,0.71117,0.95169,1.1617,0.00079238,0.00079238,0.00079238
47,215.459,0.89143,1.04213,1.23109,0.77235,0.7886,0.84539,0.69265,0.79219,0.95221,1.18812,0.000778233,0.000778233,0.000778233
48,220.074,0.94989,1.03553,1.26028,0.6938,0.81585,0.81798,0.67663,0.7124,0.99047,1.17657,0.000764086,0.000764086,0.000764086
49,223.157,0.90453,1.02475,1.28344,0.68784,0.84185,0.84167,0.69637,0.75059,0.95975,1.21367,0.000749939,0.000749939,0.000749939
50,227.968,0.86831,0.98205,1.23483,0.74991,0.75182,0.86461,0.7179,0.69558,0.95522,1.16496,0.000735792,0.000735792,0.000735792
51,232.294,0.84724,0.94993,1.19724,0.727,0.81059,0.85014,0.71319,0.68466,0.89495,1.13729,0.000721645,0.000721645,0.000721645
52,235.742,0.857,0.98492,1.22935,0.76291,0.7544,0.83035,0.70222,0.70391,0.88711,1.12499,0.000707498,0.000707498,0.000707498
53,239.225,0.80579,0.91819,1.18258,0.76832,0.82263,0.87367,0.73878,0.67929,0.87039,1.13741,0.000693351,0.000693351,0.000693351
54,243.98,0.80467,0.92789,1.17293,0.84131,0.78776,0.89417,0.75196,0.70429,0.80049,1.17195,0.000679204,0.000679204,0.000679204
55,248.635,0.80756,0.91178,1.17447,0.83447,0.80194,0.88502,0.75102,0.6879,0.78971,1.13017,0.000665057,0.000665057,0.000665057
56,252.027,0.82621,0.882,1.17515,0.77463,0.83677,0.89757,0.75913,0.68509,0.80366,1.10884,0.000650909,0.000650909,0.000650909
57,256.897,0.82148,0.85167,1.19332,0.83561,0.82936,0.90253,0.75682,0.70341,0.78568,1.13301,0.000636762,0.000636762,0.000636762
58,260.271,0.80586,0.90105,1.18754,0.81181,0.82379,0.87082,0.74661,0.66506,0.79222,1.11316,0.000622615,0.000622615,0.000622615
59,263.771,0.77325,0.85096,1.13086,0.80735,0.88034,0.89864,0.76355,0.67043,0.75186,1.1111,0.000608468,0.000608468,0.000608468
60,267.754,0.79077,0.85035,1.17294,0.87557,0.88948,0.92168,0.78243,0.67629,0.70733,1.11906,0.000594321,0.000594321,0.000594321
61,272.463,0.81432,0.8335,1.15869,0.87933,0.83356,0.92269,0.78472,0.66687,0.71173,1.10182,0.000580174,0.000580174,0.000580174
62,277.162,0.8088,0.80444,1.14128,0.82063,0.81694,0.90212,0.76166,0.69109,0.77275,1.10031,0.000566027,0.000566027,0.000566027
63,280.296,0.78702,0.82601,1.18227,0.89659,0.85004,0.92203,0.78726,0.67518,0.70998,1.10447,0.00055188,0.00055188,0.00055188
64,284.1,0.75686,0.77802,1.12177,0.84675,0.8595,0.92867,0.79169,0.65733,0.71166,1.09461,0.000537733,0.000537733,0.000537733
65,288.831,0.74956,0.80301,1.13191,0.81589,0.87448,0.91056,0.78829,0.63424,0.69594,1.07239,0.000523586,0.000523586,0.000523586
66,292.224,0.77437,0.82674,1.17844,0.79642,0.88585,0.92833,0.78472,0.67123,0.68579,1.11278,0.000509438,0.000509438,0.000509438
67,295.645,0.76731,0.76935,1.12338,0.82809,0.88608,0.92323,0.79314,0.63973,0.6732,1.08556,0.000495291,0.000495291,0.000495291
68,300.515,0.76726,0.75324,1.11788,0.92425,0.89891,0.9475,0.81381,0.65043,0.63076,1.09775,0.000481144,0.000481144,0.000481144
69,305.296,0.75717,0.74904,1.13745,0.91451,0.88802,0.9546,0.82691,0.6375,0.6256,1.07703,0.000466997,0.000466997,0.000466997
70,310.101,0.78575,0.773,1.15832,0.89338,0.85843,0.94626,0.803,0.6982,0.64466,1.1071,0.00045285,0.00045285,0.00045285
71,313.237,0.7577,0.72558,1.12409,0.90846,0.89498,0.9527,0.82518,0.62359,0.59856,1.07699,0.000438703,0.000438703,0.000438703
72,316.64,0.72252,0.68673,1.12353,0.92352,0.88641,0.95706,0.82373,0.62505,0.59664,1.0639,0.000424556,0.000424556,0.000424556
73,320.06,0.75293,0.71343,1.1318,0.9356,0.86785,0.96073,0.8243,0.63824,0.59183,1.07256,0.000410409,0.000410409,0.000410409
74,323.344,0.74029,0.67911,1.11643,0.92576,0.88755,0.95662,0.83116,0.63083,0.60636,1.05747,0.000396262,0.000396262,0.000396262
75,328.178,0.745,0.69494,1.12308,0.93612,0.8865,0.95843,0.82765,0.62945,0.5877,1.06215,0.000382115,0.000382115,0.000382115
76,331.699,0.74818,0.65819,1.13218,0.95516,0.87538,0.9641,0.82846,0.63569,0.56264,1.06603,0.000367967,0.000367967,0.000367967
77,335.197,0.73723,0.6702,1.10065,0.95142,0.87516,0.96309,0.83572,0.63948,0.56265,1.07341,0.00035382,0.00035382,0.00035382
78,339.538,0.73705,0.69472,1.12349,0.92738,0.88097,0.96086,0.82066,0.66226,0.57356,1.0816,0.000339673,0.000339673,0.000339673
79,342.942,0.72928,0.65604,1.09414,0.96256,0.87497,0.9662,0.83876,0.62947,0.56267,1.07771,0.000325526,0.000325526,0.000325526
80,347.869,0.73695,0.68847,1.14109,0.93759,0.85054,0.9541,0.82132,0.62948,0.60407,1.07124,0.000311379,0.000311379,0.000311379
81,351.235,0.74315,0.65636,1.10244,0.93061,0.91448,0.9573,0.81122,0.68685,0.60086,1.08119,0.000297232,0.000297232,0.000297232
82,354.735,0.71231,0.62021,1.07654,0.90682,0.91417,0.96579,0.83496,0.62703,0.54939,1.05784,0.000283085,0.000283085,0.000283085
83,358.244,0.76416,0.66811,1.16228,0.93305,0.90089,0.96521,0.84039,0.61771,0.54996,1.0527,0.000268938,0.000268938,0.000268938
84,362.99,0.71675,0.64109,1.09191,0.90101,0.91712,0.95871,0.82119,0.65681,0.58014,1.05948,0.000254791,0.000254791,0.000254791
85,366.394,0.73944,0.66448,1.11324,0.93474,0.89949,0.96886,0.84406,0.60259,0.53497,1.03388,0.000240644,0.000240644,0.000240644
86,370.937,0.69125,0.61006,1.07163,0.95751,0.90508,0.97081,0.84697,0.61657,0.52541,1.05351,0.000226497,0.000226497,0.000226497
87,375.07,0.71141,0.62958,1.09965,0.95472,0.92407,0.96668,0.84238,0.63188,0.54,1.05783,0.000212349,0.000212349,0.000212349
88,378.506,0.70156,0.61257,1.09634,0.96548,0.916,0.97365,0.85017,0.61146,0.51863,1.0459,0.000198202,0.000198202,0.000198202
89,383.382,0.69972,0.62672,1.08496,0.96258,0.89575,0.97504,0.84658,0.60607,0.50755,1.04347,0.000184055,0.000184055,0.000184055
90,386.648,0.68754,0.62707,1.08987,0.94726,0.90178,0.97412,0.84602,0.5911,0.50101,1.03149,0.000169908,0.000169908,0.000169908
91,391.338,0.61489,0.5382,1.03903,0.94134,0.90801,0.97027,0.84515,0.6133,0.51831,1.0373,0.000155761,0.000155761,0.000155761
92,395.015,0.58434,0.49482,1.02401,0.97302,0.90388,0.9715,0.84848,0.60238,0.50537,1.0363,0.000141614,0.000141614,0.000141614
93,398.419,0.58663,0.49983,1.0359,0.977,0.89947,0.9727,0.86132,0.58494,0.48967,1.02189,0.000127467,0.000127467,0.000127467
94,402.921,0.5687,0.46597,1.00905,0.95969,0.89837,0.9735,0.85686,0.59745,0.49429,1.0243,0.00011332,0.00011332,0.00011332
95,406.535,0.58054,0.47691,1.02582,0.9675,0.90388,0.97414,0.85433,0.60338,0.49574,1.03338,9.91726e-05,9.91726e-05,9.91726e-05
96,410.047,0.57458,0.46521,1.02538,0.94374,0.91997,0.97567,0.85865,0.59898,0.48449,1.03265,8.50255e-05,8.50255e-05,8.50255e-05
97,413.537,0.57926,0.47396,1.00714,0.97257,0.90579,0.97865,0.86246,0.58184,0.46766,1.01839,7.08784e-05,7.08784e-05,7.08784e-05
98,418.272,0.57486,0.47416,1.00472,0.97055,0.90998,0.97917,0.86686,0.58729,0.46771,1.01573,5.67313e-05,5.67313e-05,5.67313e-05
99,422.702,0.57232,0.47773,1.04467,0.95554,0.91555,0.97846,0.8633,0.58723,0.47208,1.01511,4.25842e-05,4.25842e-05,4.25842e-05
100,426.521,0.55394,0.44342,1.02135,0.94751,0.92739,0.97851,0.86652,0.58038,0.47059,1.01299,2.84371e-05,2.84371e-05,2.84371e-05
